key,name,skill_type,targeting,effect_type,mana,power,category,line,proposed_range,proposed_shape,proposed_los,cooldown,is_ultimate,emotional_register,authoring_status
skill.basic.strike,Frappe,Damage,SingleEnemy,Damage,0,10,Physical,2545,1,Single,false,,,,derived-review
canon.skill.flamme-froide,Flamme froide,Damage,SingleEnemy,Damage,8,22,Magic,2550,3,Cross,true,,,,handoff-authored
canon.skill.priere-aspiration,Prière,Drain,SingleEnemy,Debuff,4,12,Magic,2555,4,Single,true,,,,derived-review
canon.skill.transmutation,Transmutation,Buff,Self,Buff,6,0,Magic,2561,0,Single,false,,,,derived-review
canon.skill.brume,Brume,Debuff,AllEnemies,Debuff,7,0,Magic,2567,3,Diamond,true,,,,derived-review
canon.skill.flamme-seraphine,Flamme Séraphine,Damage,SingleEnemy,Damage,12,34,Magic,2573,4,Single,true,,,,derived-review
canon.skill.se-taire,Se taire,Silence,AllEnemies,Status,0,0,Magic,2578,3,Diamond,true,,,,handoff-authored
canon.skill.construction-perpetuelle,Construction perpétuelle,Buff,Self,Buff,14,0,Magic,2587,0,Single,false,,,,derived-review
canon.skill.liberte-retrouvee,La liberté retrouvée,Damage,SingleEnemy,Damage,20,14,Physical,2603,1,Single,false,,,,derived-review
canon.skill.connaissance-academique,Connaissance académique,Buff,AllAllies,Buff,22,0,Magic,2621,3,Diamond,true,,,,derived-review
canon.skill.regard-infantile,Regard infantile,Debuff,SingleEnemy,Debuff,18,0,Magic,2635,4,Single,true,,,,handoff-authored
canon.skill.frayeur-organique,Frayeur organique,Damage,SingleEnemy,Damage,14,16,Magic,2648,4,Single,true,,,,derived-review
canon.skill.clairvoyance,Clairvoyance,Debuff,AllEnemies,Debuff,16,0,Magic,2656,3,Diamond,true,,,,derived-review
canon.skill.impulsivite,Impulsivité,Buff,Self,Buff,12,0,Physical,2670,1,Single,false,,,,handoff-authored
canon.skill.favorite-de-elise,Favorite de Elise,Buff,Self,Heal,24,15,Magic,2689,0,Single,false,,,,derived-review
canon.skill.creation,Création,Buff,SingleEnemy,CopySkills,20,10,Magic,2707,4,Single,true,,,,derived-review
canon.skill.ecriture-continuelle,Écriture continuelle,Debuff,SingleEnemy,ExtendDotDuration,16,25,Magic,2718,4,Single,true,,,,derived-review
canon.skill.larme-des-enfers,Larme des enfers,Damage,SingleEnemy,Damage,14,10,Magic,2723,4,Single,true,,,,derived-review
canon.skill.souffle-de-la-forge,Souffle de la forge,Damage,SingleEnemy,Damage,16,10,Physical,2729,4,Single,true,,,,ambiguous-ranged-physical
canon.skill.contemplation-infinie,Contemplation infinie,Debuff,SingleEnemy,Debuff,18,0,Magic,2737,4,Single,true,,,,derived-review
canon.skill.silence,Silence,Debuff,SingleEnemy,Debuff,14,0,Magic,2750,4,Single,true,,,,derived-review
canon.skill.sursaut-memoriel,Sursaut mémoriel,Damage,SingleEnemy,Damage,20,12,Magic,2757,4,Single,true,,,,derived-review
